"stage","outcome","par","par1","type","Estimate","lower95","upper95","SE","z","p_val"
"egg","abundance","(Intercept)","p(Int)","det",-2.745,-2.894,-2.596,0.076,-36.083,0
"egg","abundance","julian","p(julian)","det",-0.839,-0.939,-0.74,0.051,-16.541,0
"egg","abundance","julian2","p(julian2)","det",0.445,0.345,0.546,0.051,8.717,0
"egg","abundance","(Intercept)","lam(Int)","lambda",3.08,2.506,3.654,0.293,10.521,0
"egg","abundance","depth","lam(depth)","lambda",-1.049,-1.908,-0.189,0.438,-2.392,0.017
"egg","abundance","surf_lm","lam(surf_lm)","lambda",1.308,0.542,2.075,0.391,3.346,0.001
"egg","abundance","fish","lam(fish)","lambda",-0.505,-1.607,0.597,0.562,-0.898,0.369
"larvae","abundance","(Intercept)","p(Int)","det",-2.147,-2.187,-2.108,0.02,-107.46,0
"larvae","abundance","julian","p(julian)","det",0.18,0.166,0.194,0.007,25.141,0
"larvae","abundance","julian2","p(julian2)","det",-0.167,-0.181,-0.152,0.007,-22.581,0
"larvae","abundance","(Intercept)","lam(Int)","lambda",6.966,6.316,7.615,0.331,21.021,0
"larvae","abundance","depth","lam(depth)","lambda",-0.825,-1.693,0.042,0.443,-1.865,0.062
"larvae","abundance","surf_lm","lam(surf_lm)","lambda",1.54,0.71,2.37,0.423,3.638,0
"larvae","abundance","fish","lam(fish)","lambda",-1.718,-2.881,-0.555,0.593,-2.895,0.004
"frog","abundance","(Intercept)","p(Int)","det",-1.404,-1.453,-1.354,0.025,-55.703,0
"frog","abundance","julian","p(julian)","det",0.071,0.044,0.098,0.014,5.169,0
"frog","abundance","julian2","p(julian2)","det",-0.556,-0.583,-0.528,0.014,-39.765,0
"frog","abundance","(Intercept)","lam(Int)","lambda",4.85,4.616,5.084,0.119,40.641,0
"frog","abundance","depth","lam(depth)","lambda",-0.35,-0.662,-0.038,0.159,-2.2,0.028
"frog","abundance","surf_lm","lam(surf_lm)","lambda",1.046,0.747,1.346,0.153,6.851,0
"frog","abundance","fish","lam(fish)","lambda",-0.776,-1.225,-0.328,0.229,-3.392,0.001
