year	site	eggs	larvae	tadpoles	juveniles	subadults	adults	frogs
1997	1	0	66	66	0	24.33333333	23	47.33333333
1997	2	0	16.11111111	16.11111111	0	15	31	49.875
1997	3	0	0	0	0	0	0	0
1997	4	0	6	6	0	21.375	13.25	34.625
1997	5	0	153.8333333	153.8333333	0	32.83333333	6.333333333	39.16666667
1997	6	0	0	0	0	16	4.6	23.66666667
1997	7	0	25.83333333	25.83333333	0	1.666666667	2.166666667	3.833333333
1997	8	0	0	0	0	0	1	2
1997	9	0	0.142857143	0.142857143	0	1.285714286	3.285714286	4.571428571
1997	10	0	0	0	0	0	1	1
1997	11	0	0	0	0	0.8	1.2	2
1997	20	NA	NA	NA	NA	NA	NA	NA
1997	21	NA	NA	NA	NA	NA	NA	NA
1997	22	NA	NA	NA	NA	NA	NA	NA
1998	1	0.071428571	74.07142857	74.07142857	0	10.42857143	32.35714286	42.78571429
1998	2	11.78571429	479.4285714	479.4285714	0	5.428571429	41.85714286	47.28571429
1998	3	0	0	0	0	0.5	0.928571429	1.428571429
1998	4	0.071428571	38.28571429	38.28571429	0	8.5	18.71428571	27.21428571
1998	5	4.857142857	171.7142857	171.7142857	0	23.07142857	26.14285714	49.21428571
1998	6	0.071428571	11.71428571	11.71428571	0	4.071428571	8.428571429	12.5
1998	7	0.642857143	56.92857143	56.92857143	0	1.357142857	4.214285714	5.571428571
1998	8	0	0	0	0	0.076923077	0.785714286	0.923076923
1998	9	0.928571429	48.64285714	48.64285714	0	0.5	3.142857143	3.642857143
1998	10	0	0	0	0	0.692307692	2	2.692307692
1998	11	0	13.23076923	13.23076923	0	0.076923077	2.538461538	2.615384615
1998	20	25	2.5	4	1.5	2	39	41
1998	21	NA	NA	NA	NA	NA	NA	NA
1998	22	NA	NA	NA	NA	NA	NA	NA
1999	1	0.25	86.5	91.25	4.75	8	33.5	41.5
1999	2	4.25	415.25	476.25	61	97	63.5	160.5
1999	3	0	0	0	0	0	0.75	0.75
1999	4	0.5	216.5	232.75	16.25	2	22.5	24.5
1999	5	2.5	340	409.5	69.5	66.5	33.75	100.25
1999	6	0	0.75	0.75	0	1	5	6
1999	7	1	35.25	39.5	4.25	5.5	12.5	18
1999	8	0	0	0	0	0.333333333	0	0.333333333
1999	9	0	0	0	0	2.5	5.25	7.75
1999	10	0	0	0	0	0	2.666666667	2.666666667
1999	11	0	6.333333333	7	0.666666667	1.333333333	2.666666667	4
1999	20	0	1085	1086	1	16	100	116
1999	21	NA	NA	NA	NA	NA	NA	NA
1999	22	NA	NA	NA	NA	NA	NA	NA
2000	1	0.25	96	96.75	0.75	12.75	19	31.75
2000	2	12	687.5	687.5	0	0.5	8.75	9.25
2000	3	0	0	0	0	0	0	0
2000	4	0	216.3333333	216.3333333	0	3.666666667	5.333333333	9
2000	5	2.5	277.5	278.25	0.75	8.25	0.75	9
2000	6	0	0	0	0	0	1.333333333	1.333333333
2000	7	0.5	196	196	0	3	2.75	5.75
2000	8	0	0	0	0	0	0	0
2000	9	0.25	2.25	2.25	0	0.25	0.5	0.75
2000	10	0.25	0	0	0	0.25	0.75	1
2000	11	0	0	0	0	0	0	0
2000	20	NA	NA	NA	NA	NA	NA	NA
2000	21	NA	NA	NA	NA	NA	NA	NA
2000	22	NA	NA	NA	NA	NA	NA	NA
2001	1	0.5	87.75	94.5	6.75	12.25	29.25	41.5
2001	2	7.8	396.4	400	3.6	6.8	21	27.8
2001	3	0	0	0	0	0	0	0
2001	4	0	275.8	275.8	0	0.2	5.8	6
2001	5	0	502	504.6	2.6	0.6	1.2	1.8
2001	6	0	87.5	88	0.5	0.5	3.5	4
2001	7	3	38.6	39.6	1	1.4	2.2	3.6
2001	8	0	0	0	0	0.75	0.25	1
2001	9	0	60	60.6	0.6	1.2	2.6	3.8
2001	10	0	0	0	0	0	1.2	1.2
2001	11	0	0	0	0	0	0.4	0.4
2001	20	5.75	597.75	602.5	4.75	4.25	8.25	12.5
2001	21	0	0	0	0	0	0	0
2001	22	0	50	50	0	1	3	4
2002	1	0.428571429	191.4285714	239.2857143	47.85714286	32	42.57142857	74.57142857
2002	2	1.571428571	347.8571429	348.4285714	0.571428571	1.571428571	17	18.57142857
2002	3	0	0.333333333	0.333333333	0	0	0.333333333	0.333333333
2002	4	0	131.4285714	238.1428571	106.7142857	24	3.857142857	27.85714286
2002	5	1.285714286	443	594.4285714	151.4285714	33.42857143	6.571428571	40
2002	6	0	53.57142857	54	0.428571429	0.142857143	1.428571429	1.571428571
2002	7	0.428571429	268	268.7142857	0.714285714	1.428571429	6.142857143	7.571428571
2002	8	0	0	0.142857143	0.142857143	0.285714286	0.428571429	0.714285714
2002	9	0.285714286	43.57142857	43.71428571	0.142857143	0	1.571428571	1.571428571
2002	10	0	0	0	0	0.285714286	0.571428571	0.857142857
2002	11	0	0	0	0	0.166666667	0	0.166666667
2002	20	4.714285714	615.5714286	791.2857143	175.7142857	42.14285714	47.14285714	89.28571429
2002	21	0	22	22.2	0.2	1.6	5.6	7.2
2002	22	0	12.6	49.8	37.2	17.4	11.8	29.2
2003	1	0	48.33333333	48.66666667	0.333333333	34.66666667	30	64.66666667
2003	2	8.666666667	403.3333333	608	3.5	3	24.66666667	27.66666667
2003	3	0	0	0	0	1.5	1	2.5
2003	4	0	118.3333333	119	0.666666667	3.666666667	3.666666667	7.333333333
2003	5	0.666666667	219	275	56	32.66666667	8	40.66666667
2003	6	0	250	250	0	0.5	2	2.5
2003	7	0.666666667	51.66666667	51.66666667	0	5.333333333	4.333333333	9.666666667
2003	8	0	2.5	2.5	0	0	2	2
2003	9	1.333333333	74	74	0	2.333333333	0.666666667	3
2003	10	0	0	0	0	1	3	4
2003	11	0	0	0	0	1.5	0.5	2
2003	20	17	1011.333333	1150.333333	139	115.3333333	54	169.3333333
2003	21	1	0	0	0	0	3.333333333	3.333333333
2003	22	0	20.66666667	48	27.33333333	23	23.33333333	46.33333333
2005	1	0	53.4	87.8	34.4	2.4	36	38.4
2005	2	0	2045.8	2046.2	0.4	0	13	13
2005	3	0	0	0	0	0	1.6	1.6
2005	4	0	23.8	154.2	130.4	2.4	5.8	8.2
2005	5	0	468.6	665.6	197	4.8	7.2	12
2005	6	0	0	4.4	4.4	0	6	6
2005	7	0	25.8	37.4	11.6	0	4.2	4.2
2005	8	0	0	0.4	0.4	0	0.4	0.4
2005	9	0	31.4	32.2	0.8	0.4	3.8	4.2
2005	10	0	0	0.2	0.2	0.2	2.6	2.8
2005	11	0	0	0	0	0	0.2	0.2
2005	20	0	465.8	703.8	238	4.4	51.4	55.8
2005	21	0	0	1.6	1.6	0	7	7
2005	22	0	53.6	60	6.4	0.4	22.6	23
2006	1	3.2	49.2	66.4	17.2	14.2	26.6	40.8
2006	2	7.6	1526	1533.2	7.2	10	24.6	34.6
