"year" "site" "eggs" "larvae" "tadpoles" "juveniles" "subadults" "adults" "frogs"
"1" 1997 1 0 66 66 0 24.3333333333333 23 47.3333333333333
"2" 1998 1 0.0714285714285714 74.0714285714286 74.0714285714286 0 10.4285714285714 32.3571428571429 42.7857142857143
"3" 1999 1 0.25 86.5 91.25 4.75 8 33.5 41.5
"4" 2000 1 0.25 96 96.75 0.75 12.75 19 31.75
"5" 2001 1 0.5 87.75 94.5 6.75 12.25 29.25 41.5
"6" 2002 1 0.428571428571429 191.428571428571 239.285714285714 47.8571428571429 32 42.5714285714286 74.5714285714286
"7" 2003 1 0 48.3333333333333 48.6666666666667 0.333333333333333 34.6666666666667 30 64.6666666666667
"8" 2005 1 0 53.4 87.8 34.4 2.4 36 38.4
"9" 2006 1 3.2 49.2 66.4 17.2 14.2 26.6 40.8
"10" 2007 1 0 73 73 0 8 29 37
"11" 2008 1 1 51.125 84.125 33 13.625 37.75 51.375
"12" 2009 1 2 0 0 0 3 14 17
"13" 2010 1 0 29.75 39.25 9.5 0.75 0.75 1.5
"14" 2011 1 0 1 4 3 3 0 3
"15" 2012 1 0 0 0 0 0 0 0
"16" 1997 2 0 16.1111111111111 16.1111111111111 0 15 31 49.875
"17" 1998 2 11.7857142857143 479.428571428571 479.428571428571 0 5.42857142857143 41.8571428571429 47.2857142857143
"18" 1999 2 4.25 415.25 476.25 61 97 63.5 160.5
"19" 2000 2 12 687.5 687.5 0 0.5 8.75 9.25
"20" 2001 2 7.8 396.4 400 3.6 6.8 21 27.8
"21" 2002 2 1.57142857142857 347.857142857143 348.428571428571 0.571428571428571 1.57142857142857 17 18.5714285714286
"22" 2003 2 8.66666666666667 403.333333333333 608 3.5 3 24.6666666666667 27.6666666666667
"23" 2005 2 0 2045.8 2046.2 0.4 0 13 13
"24" 2006 2 7.6 1526 1533.2 7.2 10 24.6 34.6
"25" 2007 2 0 0 0 0 0 0 0
"26" 2008 2 1 841.777777777778 672.375 0.375 4.33333333333333 23.2222222222222 27.5555555555556
"27" 2009 2 0 0 0 0 0 5 5
"28" 2010 2 0 0 0 0 0 0 0
"29" 2011 2 0 0 0 0 0 0 0
"30" 2012 2 0 0 0 0 0 0 0
"31" 1997 3 0 0 0 0 0 0 0
"32" 1998 3 0 0 0 0 0.5 0.928571428571429 1.42857142857143
"33" 1999 3 0 0 0 0 0 0.75 0.75
"34" 2000 3 0 0 0 0 0 0 0
"35" 2001 3 0 0 0 0 0 0 0
"36" 2002 3 0 0.333333333333333 0.333333333333333 0 0 0.333333333333333 0.333333333333333
"37" 2003 3 0 0 0 0 1.5 1 2.5
"38" 2005 3 0 0 0 0 0 1.6 1.6
"39" 2006 3 0 0 0.4 0.4 1.4 1.4 2.8
"40" 2007 3 0 0 0 0 2 7 9
"41" 2008 3 0 0 0.111111111111111 0.111111111111111 0.111111111111111 2.77777777777778 2.88888888888889
"42" 2009 3 0 0 0 0 0 0 0
"43" 2010 3 0 0 0 0 0 0 0
"44" 2011 3 0 0 0 0 0 0 0
"45" 2012 3 0 0 0 0 0 0 0
"46" 1997 4 0 6 6 0 21.375 13.25 34.625
"47" 1998 4 0.0714285714285714 38.2857142857143 38.2857142857143 0 8.5 18.7142857142857 27.2142857142857
"48" 1999 4 0.5 216.5 232.75 16.25 2 22.5 24.5
"49" 2000 4 0 216.333333333333 216.333333333333 0 3.66666666666667 5.33333333333333 9
"50" 2001 4 0 275.8 275.8 0 0.2 5.8 6
"51" 2002 4 0 131.428571428571 238.142857142857 106.714285714286 24 3.85714285714286 27.8571428571429
"52" 2003 4 0 118.333333333333 119 0.666666666666667 3.66666666666667 3.66666666666667 7.33333333333333
"53" 2005 4 0 23.8 154.2 130.4 2.4 5.8 8.2
"54" 2006 4 1.2 89.2 122 32.8 7.4 9.4 16.8
"55" 2007 4 0 425 635 210 44 22 66
"56" 2008 4 0 101.4 110.7 9.3 1.3 5.1 6.4
"57" 2009 4 0 36 45 9 0 0 0
"58" 2010 4 0 144.25 185.75 41.5 2.75 0 2.75
"59" 2011 4 0 99 107 8 0 0 0
"60" 2012 4 0 12 14 2 0 0 0
"61" 1997 5 0 153.833333333333 153.833333333333 0 32.8333333333333 6.33333333333333 39.1666666666667
"62" 1998 5 4.85714285714286 171.714285714286 171.714285714286 0 23.0714285714286 26.1428571428571 49.2142857142857
"63" 1999 5 2.5 340 409.5 69.5 66.5 33.75 100.25
"64" 2000 5 2.5 277.5 278.25 0.75 8.25 0.75 9
"65" 2001 5 0 502 504.6 2.6 0.6 1.2 1.8
"66" 2002 5 1.28571428571429 443 594.428571428571 151.428571428571 33.4285714285714 6.57142857142857 40
"67" 2003 5 0.666666666666667 219 275 56 32.6666666666667 8 40.6666666666667
"68" 2005 5 0 468.6 665.6 197 4.8 7.2 12
"69" 2006 5 6.4 223.8 440 216.2 5.6 17.8 23.4
"70" 2007 5 0 295 610 315 50 16 66
"71" 2008 5 1.55555555555556 304.444444444444 342.111111111111 37.6666666666667 4.77777777777778 6.55555555555556 11.3333333333333
"72" 2009 5 0 28 32 4 2 1 3
"73" 2010 5 0 242.5 510.25 267.75 0.25 0.25 0.5
"74" 2011 5 0 233 233 0 9 0 9
"75" 2012 5 0 156 203 47 2 0 2
"76" 1997 6 0 0 0 0 16 4.6 23.6666666666667
"77" 1998 6 0.0714285714285714 11.7142857142857 11.7142857142857 0 4.07142857142857 8.42857142857143 12.5
"78" 1999 6 0 0.75 0.75 0 1 5 6
"79" 2000 6 0 0 0 0 0 1.33333333333333 1.33333333333333
"80" 2001 6 0 87.5 88 0.5 0.5 3.5 4
"81" 2002 6 0 53.5714285714286 54 0.428571428571429 0.142857142857143 1.42857142857143 1.57142857142857
"82" 2003 6 0 250 250 0 0.5 2 2.5
"83" 2005 6 0 0 4.4 4.4 0 6 6
"84" 2006 6 0 0 4.6 4.6 5.4 8.2 13.6
