year	w.start	w.end	winter_duration	s.start	s.end	summer_duration	snow_maximum	comments
1989	1989.928186	1990.385289	0.457103	1989.752377	1989.928186	0.175809	25.1	"Here we have maximum snowpack depth per year, as well as winter start, winter end, winter duration, summer start, summer end, and summer duration."
1990	1991.123685	1991.440141	0.316456	1990.385289	1991.123685	0.738396	16.34	
1991	1991.82692	1992.354434	0.527514	1991.440141	1991.82692	0.386779	18.95	
1992	1992.811537	1993.47961	0.668073	1992.354434	1992.811537	0.457103	18.96	
1993	1993.831227	1994.393903	0.562676	1993.47961	1993.831227	0.351617	43.8	
1994	1994.815844	1995.483829	0.667985	1994.393903	1994.815844	0.421941	17	
1995	1995.941019	1996.468358	0.527339	1995.483829	1995.941019	0.45719	49.01	
1996	1996.749652	1997.382563	0.632911	1996.468358	1996.749652	0.281294	39.2	
1997	1997.839666	1998.57815	0.738484	1997.382563	1997.839666	0.457103	40.66	
1998	1998.806702	1999.421944	0.615242	1998.57815	1998.806702	0.228552	49.42	
1999	1999.98462	2000.406473	0.421853	1999.421944	1999.98462	0.562676	23.93	
2000	2000.793252	2001.373421	0.580169	2000.406473	2000.793252	0.386779	32.42	
2001	2001.812943	2002.410693	0.59775	2001.373421	2001.812943	0.439522	26.54	
2002	2002.832721	2003.430383	0.597662	2002.410693	2002.832721	0.422028	23.27	
2003	2003.817162	2004.414912	0.59775	2003.430383	2003.817162	0.386779	27.19	
2004	2004.801779	2005.469764	0.667985	2004.414912	2004.801779	0.386867	28.5	
2005	2005.856631	2006.454381	0.59775	2005.469764	2005.856631	0.386867	40.27	
2006	2006.84116	2007.403748	0.562588	2006.454381	2006.84116	0.386779	46.21	
2007	2007.931174	2008.388189	0.457015	2007.403748	2007.931174	0.527426	17.57	
2008	2008.827799	2009.478291	0.650492	2008.388189	2008.827799	0.43961	21.98	
2009	2009.759585	2010.462732	0.703147	2009.478291	2009.759585	0.281294	21.91	
2010	2010.849599	2011.48251	0.632911	2010.462732	2010.849599	0.386867	39.16	
2011	2011.834128	2012.361554	0.527426	2011.48251	2011.834128	0.351618	47.23	
2012	2012.88898	2013.732774	0.843794	2012.361554	2012.88898	0.527426	14.85	
2013	2013.908671	2014.260288	0.351617	2013.732774	2013.908671	0.175897	19.01	
2014	2014.928361	2015.244817	0.316456	2014.260288	2014.928361	0.668073	7.88	
2015	2015.842567	2016.405154	0.562587	2015.244817	2015.842567	0.59775	6.04	
2016	2016.862257	2017.460007	0.59775	2016.405154	2016.862257	0.457103	14.07	
2017	NA	NA	NA	2017.460007	NA	NA	37.27	
