Date	Year	Season	Site #	# Adult RAMU	# Subadults RAMU	# Metamorphs RAMU	# Adult + Subadult RAMU	# Subadult + Metamorph RAMU	# Pre-Metamorphs RAMU	# Metamorph + Pre-Metamorph RAMU	# Larvae RAMU	# RAMU egg masses	# Adult PSRE	# Subadult PSRE	# Larvae PSRE	# PSRE egg masses	Observer	air temp C	water temp C	Weather	start time	end time	total time (min)	Fish Present	Comments	
08/07/97	1997	f	2	54	41	0	95	41	0	0	0	0	0	0	0	0	NA	24	19.84		13:06		26	No		
08/07/97	1997	f	7	6	2	0	8	2	0	0	7	0	0	0	0	0	NA	27	NA		12:28		11	No		
08/07/97	1997	f	8	2	0	0	2	0	0	0	0	0	0	0	56	0	Karen Pope	27.5	19.5		12:04	12:07	3	No	small shallow mucky pool.   0.12m deep	
08/07/97	1997	f	9	6	4	0	10	4	0	0	1	0	0	0	200	0	Karen Pope	30	14.5		12:11		3	No	Numerous Hyla tads (200 is just a place holder	
08/07/97	1997	f	10	2	0	0	2	0	0	0	0	0	0	0	0	0	NA	24	NA		12:42		2	No		
08/07/97	1997	f	11	3	2	0	5	2	0	0	0	0	0	0	0	0	Karen Pope	18	22		13:37	13:40	3	No	0.15m	
08/07/97	1997	f	33	8	3	0	11	3	0	0	0	0	0	0	0	0	NA	25	NA		12:16		9	No		
08/16/97	1997	f	1	41	32	0	73	32	0	0	182	0	0	0	50	0	David Court	16	NA		10:00		129	Yes	152 tps in separated bay(maybe sectT).	
08/16/97	1997	f	2	74	33	0	107	33	0	0	0	0	0	0	0	0	NA	16	15.36		10:07		33	No		
08/16/97	1997	f	4	29	37	0	66	37	0	0	2	0	0	0	0	0	Karen Pope	15	16.44		11:24		18	No	KP and DC did 5 surveys on 8/16-8/18 at various times of day here and lk 2 probab to determine best times of day for surveying	
08/16/97	1997	f	5	15	64	0	79	64	0	0	38	0	0	0	0	0	NA	16	NA		10:51		16	No		
08/16/97	1997	f	6	10	20	0	30	20	0	0	0	0	0	0	100	0	Karen Pope	15	NA	"Clear,Windy"	11:12	11:18	6	No	"Said ""tons"" of Hyla tps(I just put in 100), pond is drying up, possibly Rana tps. Fairy shrimp. 0.25m depth"	
08/16/97	1997	f	9	8	0	0	8	0	0	0	0	0	0	0	200	0	David Court	20	NA	"Clear, Calm"	14:42		6	No	tons of of Hyla tads(# is just a place holder).  Lake 8 is nearly dry-several Hyla tads left/no chance of survival.  0.15m deep	
08/16/97	1997	f	10	2	0	0	2	0	0	0	0	0	0	0	0	0	NA	19.5	NA		14:27		5	No		
