year	water_content_max	water_content_mean	comments
1989	25.1	7.952	This is the water content per year at Bishop's Pass; we have maximum water content per year and average water content per year.
1990	16.34	6.428695652	
1991	18.95	7.807434555	
1992	18.96	5.027457627	
1993	43.8	14.39963173	
1994	17	5.231318328	
1995	49.01	18.65456026	
1996	39.2	11.44180233	
1997	40.66	15.80061453	
1998	49.42	19.64544199	
1999	23.93	7.461855956	
2000	32.42	8.204598338	
2001	26.54	6.567410468	
2002	23.27	7.908434066	
2003	27.19	8.344931507	
2004	28.5	8.344352617	
2005	40.27	17.41655172	
2006	46.21	16.32297059	
2007	17.57	5.164410959	
2008	21.98	6.975342466	
2009	21.91	6.210840708	
2010	39.16	14.35505495	
2011	47.23	18.14224658	
2012	14.85	5.794749035	
2013	19.01	8.26700831	
2014	7.96	4.548493151	
2015	6.04	1.417261538	
2016	14.07	4.662597765	
2017	37.27	12.01969863	
2018	0.14	0.00902439	
